Term Code Admit,Univ Id,Student
201915,1,Katharina Oman
201915,2,Sheffie Aldins
201915,3,Miner Withrop
201915,4,Robbin Jury
201915,5,Othello Thrush
201915,6,Jeremie Willerstone
201915,7,Bryn Riglesford
201915,8,Rodrick Imorts
201915,9,Delbert Boffey
201915,10,Clayborne MacLeod
201915,11,Maribelle McIlhone
201915,12,Cyb Johnigan
201915,13,Morganica Ritmeyer
201915,14,Marybeth Le Frank
201915,15,Luke Tippell
201915,16,Nedi Shoebotham
201915,17,Nicolle Scartifield
201915,18,Mata Ciciura
201915,19,Ban Osanne
201915,20,Angie Gianuzzi
201915,21,Carmella Colleer
201915,22,Garvin Burndred
201915,23,Jeane Havvock
201915,24,Lorie MacGorman
201915,25,Moises Bacop
201915,26,Candie Corstorphine
201915,27,Sidonia Pauletti
201915,28,Reider Busch
201915,29,Becky Cullingford
201915,30,Ursola Worden
201915,31,Putnem Hiddy
201915,32,Benji Strowger
201915,33,Wendell Palffy
201915,34,Florian Caulton
201915,35,Bobbie Ezzle
201915,36,Marj Milella
201915,37,Robyn Gallahue
201915,38,Enoch Malshinger
201915,39,Lou Sea
201915,40,Lenka Halms
201915,41,Velma Capstack
201915,42,Georgie Woolstenholmes
201915,43,Leola Olland
201915,44,Rhodia Halliday
201915,45,Nikolia Bygrave
201915,46,Farr Filov
201915,47,Aldus Dicky
201915,48,Borg Iacobetto
201915,49,Lonnard Preshaw
201915,50,Deonne Pinchon
201915,51,Drona Hulcoop
201915,52,Timmie Tofano
201915,53,Carley Nisco
201915,54,Judd Shearmur
201915,55,Ricardo Leechman
201915,56,Richart Franck
201915,57,Cassandry Kelsow
201915,58,Dave Gaitskell
201915,59,Clarinda Skotcher
201915,60,Etty Bealton
201915,61,Verile Stronge
201915,62,Robinetta Lamprecht
201915,63,Letti Borrel
201915,64,Cesar Skelhorne
201915,65,Nikki Carrel
201915,66,Yurik Aseef
201915,67,Markos Freeth
201915,68,Loraine Moysey
201915,69,Amble Durno
201915,70,Fiann Banane
201915,71,Moselle Adamiak
201915,72,Shannan Wikey
201915,73,Nikos Sterling
201915,74,Herc Knightley
201915,75,Dawna Riveles
201915,76,Jana Ayliff
201915,77,Baillie Gainsburgh
201915,78,Sandra Lightwood
201915,79,Jecho Perigeaux
201915,80,Deidre Igounet
201915,81,Oliviero Casarini
201915,82,Karola Halworth
201915,83,Paolina Gobeau
201915,84,Gris Behr
201915,85,Evvy Bride
201915,86,Alana McCathy
201915,87,Gothart Chill
201915,88,Jarib Vidloc
201915,89,Allyn Layus
201915,90,Willow Chesshire
201915,91,Derron Skey
201915,92,Amaleta Thoumasson
201915,93,Davide Greenwood
201915,94,Remy Korb
201915,95,Anni Dishman
201915,96,Lexy Eykelbosch
201915,97,Consuela Hearst
201915,98,Lefty Canon
201915,99,Mikkel Wackley
201915,100,Evered Kingsbury
201915,101,Jodi Gritten
201915,102,Betteann Eisig
201915,103,Emlyn Baughn
201915,104,Ilyse Treharne
201915,105,Alard Rubinowitz
201915,106,Tammie Kerkham
201915,107,Garrard Huddleston
201915,108,Wadsworth Wesgate
201915,109,Davine Twiggins
201915,110,Alisun Doman
201915,111,Ardath Dwelly
201915,112,Gustaf Alpe
201915,113,Tyrone Waugh
201915,114,Alaster Heffy
201915,115,Lemmy Mattiessen
201915,116,Stern Duns
201915,117,Kalie Studart
201915,118,Gustav Selwyne
201915,119,Ede Mault
201915,120,Berkie Martland
